2023-02-25 22:01:27,116 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:01:29,441 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:02:10,937 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:02:11,904 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:02:13,308 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:02:14,213 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:02:16,740 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:02:17,614 [AppLog] INFO : 显示模组校准栏
2023-02-25 22:02:20,640 [AppLog] INFO : 不显示模组校准栏
2023-02-25 22:02:22,621 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:02:26,958 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:27,036 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:27,255 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:27,582 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:27,957 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:28,612 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:29,875 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:30,250 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:30,406 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:30,718 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:30,874 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:31,123 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:31,279 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:31,451 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:31,576 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:31,716 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:31,810 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:31,888 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
