2023-03-03 14:00:15,305 [AppLog] INFO : 更新气压控制卡参数：DEV_AdibControl:二级墨盒加热电压：{12V}；MCU_SetPhVoltage:二级墨盒加热温度：{45℃}MCU_SetPhVoltage:负压目标值：{System.Single[]kPa}MCU_SetPhVoltage:负压阈值：{0.16kPa}
2023-03-03 14:00:19,719 [AppLog] INFO : 进入气压控制卡参数设置状态时
2023-03-03 14:00:23,105 [AppLog] INFO : 进入气压控制卡参数监控状态时
2023-03-03 14:00:25,008 [AppLog] INFO : 开启手动压墨：PushInkBtn_Click
2023-03-03 14:00:32,605 [AppLog] INFO : 停止手动压墨：PushInkBtn_Click
2023-03-03 14:00:35,787 [AppLog] INFO : 进入气压控制卡参数设置状态时
2023-03-03 14:00:45,272 [AppLog] INFO : 进入气压控制卡参数监控状态时
2023-03-03 14:00:45,288 [AppLog] INFO : 进入气压控制卡参数设置状态时
2023-03-03 14:01:15,521 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第4轴},运动速度{1MM/s}
2023-03-03 14:01:15,755 [AppLog] INFO : 自动停止铺粉棍轴JOG输出（8轴运控板卡系统） ====》：输出AXIS{第6轴}
2023-03-03 14:01:15,755 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第4轴}
2023-03-03 14:01:15,879 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第4轴},运动速度{1MM/s}
2023-03-03 14:01:16,098 [AppLog] INFO : 自动停止铺粉棍轴JOG输出（8轴运控板卡系统） ====》：输出AXIS{第6轴}
2023-03-03 14:01:16,098 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第4轴}
2023-03-03 14:01:16,441 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第4轴},运动速度{1MM/s}
2023-03-03 14:01:16,550 [AppLog] INFO : 自动停止铺粉棍轴JOG输出（8轴运控板卡系统） ====》：输出AXIS{第6轴}
2023-03-03 14:01:16,550 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第4轴}
2023-03-03 14:01:23,757 [AppLog] INFO : 开启刮墨轴回零校准：SpreaderHomeBtn_Click
2023-03-03 14:01:25,271 [AppLog] INFO : 刮墨轴回零成功：SpreaderHomeBtn_Click：{AXIS{4},Vel{1圈/s},开槽位置{-107°}}
2023-03-03 14:01:39,935 [AppLog] INFO : 进入气压控制卡参数监控状态时
2023-03-03 14:01:43,289 [AppLog] INFO : 进入气压控制卡参数设置状态时
2023-03-03 14:01:50,980 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-03 14:01:51,026 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-03 14:01:51,463 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-03 14:01:51,557 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
