2023-04-07 15:32:32,403 [AppLog] INFO : 软件开机密码正确，登录成功1次
==========================================================================
操作系统:{Microsoft Windows 7 旗舰版 }
运行环境:{ .Net Framework Enviroment Version 4.0.30319.42000}
盘符：D
CPU使用率：{0%} ，可用内存大小:{14298MB}，硬盘剩余空间：
  盘符 C:\ 的剩余空间：70 GB
  盘符 D:\ 的剩余空间：88 GB
  盘符 F:\ 的剩余空间：3 GB
硬件配置情况：
  CPU 厂家: GenuineIntel CPU 型号: Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Micron_1300_MTFDDAK256TDL ATA Device
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Generic Flash Disk USB Device
==========================================================================
2023-04-07 15:32:32,419 [AppLog] INFO : 开启系统：板卡通讯，伺服供电，照明系统，UV/HR固化系统！
2023-04-07 15:32:32,421 [AppLog] INFO : 开启系统：一键启动系统开始！
2023-04-07 15:32:38,428 [AppLog] INFO : 开启系统：一键启动系统结束！
2023-04-07 15:32:38,433 [AppLog] INFO : 初始化喷墨控制器启动！
2023-04-07 15:32:57,611 [AppLog] INFO : 打开喷墨控制器设备成功！
2023-04-07 15:33:01,728 [AppLog] INFO : 初始化喷墨控制器成功！
2023-04-07 15:33:01,728 [AppLog] INFO : 进入：EquipmentMotionLogic3=》准备创建对象-手动操作！
2023-04-07 15:33:01,913 [AppLog] INFO : 进入：EquipmentMotionLogic3=》创建完成-手动操作！
2023-04-07 15:33:02,050 [AppLog] INFO : 红外灯控制器485通讯建立！
2023-04-07 15:33:02,052 [AppLog] INFO : 进入电气控制模块
2023-04-07 15:33:03,225 [AppLog] INFO : 电气控制模块：手动打开端口14
2023-04-07 15:33:03,864 [AppLog] INFO : 电气控制模块：手动打开端口15
2023-04-07 15:33:04,604 [AppLog] INFO : 退出电气控制模块
2023-04-07 15:33:05,337 [AppLog] INFO : 进入手动调试子模块！
2023-04-07 15:33:05,337 [AppLog] INFO : 进入：ManulBtn_Click=》准备创建对象-手动操作！
2023-04-07 15:33:05,367 [AppLog] INFO : 创建：ManualControl=》创建完成-手动操作！
2023-04-07 15:33:05,367 [AppLog] INFO : 加载成功：温控Modbus接口！
2023-04-07 15:33:14,188 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:14,255 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:14,582 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:14,822 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:15,100 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:15,238 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:16,046 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:16,191 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:17,054 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:18,130 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:18,294 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:23,930 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:24,038 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:24,874 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:25,100 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 15:33:26,088 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 15:33:26,271 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
