2023-04-07 17:02:18,726 [AppLog] INFO : 软件开机密码正确，登录成功1次
==========================================================================
操作系统:{Microsoft Windows 7 旗舰版 }
运行环境:{ .Net Framework Enviroment Version 4.0.30319.42000}
盘符：D
CPU使用率：{6.328268%} ，可用内存大小:{14280MB}，硬盘剩余空间：
  盘符 C:\ 的剩余空间：70 GB
  盘符 D:\ 的剩余空间：88 GB
  盘符 F:\ 的剩余空间：3 GB
硬件配置情况：
  CPU 厂家: GenuineIntel CPU 型号: Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Micron_1300_MTFDDAK256TDL ATA Device
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Generic Flash Disk USB Device
==========================================================================
2023-04-07 17:02:24,547 [AppLog] INFO : 开启系统：板卡通讯，伺服供电，照明系统，UV/HR固化系统！
2023-04-07 17:02:24,549 [AppLog] INFO : 开启系统：一键启动系统开始！
2023-04-07 17:02:30,558 [AppLog] INFO : 开启系统：一键启动系统结束！
2023-04-07 17:02:30,559 [AppLog] INFO : 初始化喷墨控制器启动！
2023-04-07 17:02:49,731 [AppLog] INFO : 打开喷墨控制器设备成功！
2023-04-07 17:02:51,267 [AppLog] INFO : 初始化喷墨控制器成功！
2023-04-07 17:02:51,268 [AppLog] INFO : 进入：EquipmentMotionLogic3=》准备创建对象-手动操作！
2023-04-07 17:02:51,453 [AppLog] INFO : 进入：EquipmentMotionLogic3=》创建完成-手动操作！
2023-04-07 17:02:51,577 [AppLog] INFO : 红外灯控制器485通讯建立！
2023-04-07 17:02:51,578 [AppLog] INFO : 进入电气控制模块
2023-04-07 17:02:52,584 [AppLog] INFO : 电气控制模块：手动打开端口14
2023-04-07 17:02:53,208 [AppLog] INFO : 电气控制模块：手动打开端口15
2023-04-07 17:02:54,121 [AppLog] INFO : 退出电气控制模块
2023-04-07 17:02:54,991 [AppLog] INFO : 进入手动调试子模块！
2023-04-07 17:02:54,992 [AppLog] INFO : 进入：ManulBtn_Click=》准备创建对象-手动操作！
2023-04-07 17:02:55,016 [AppLog] INFO : 创建：ManualControl=》创建完成-手动操作！
2023-04-07 17:02:55,017 [AppLog] INFO : 加载成功：温控Modbus接口！
2023-04-07 17:02:56,385 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-04-07 17:02:56,435 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-04-07 17:02:56,791 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-04-07 17:02:56,891 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-04-07 17:02:58,956 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 17:02:59,409 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 17:02:59,643 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 17:03:01,946 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 17:03:02,694 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 17:03:05,338 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 17:03:05,594 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{1MM/s}
2023-04-07 17:03:09,683 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 17:03:14,504 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{2MM/s}
2023-04-07 17:03:15,533 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 17:03:16,891 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{2MM/s}
2023-04-07 17:03:17,608 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第7轴}
2023-04-07 17:03:17,951 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第7轴},运动速度{2MM/s}
