2023-05-17 10:54:50,207 [AppLog] INFO : 软件开机密码正确，登录成功1次
==========================================================================
操作系统:{Microsoft Windows 7 旗舰版 }
运行环境:{ .Net Framework Enviroment Version 4.0.30319.42000}
盘符：D
CPU使用率：{10.71381%} ，可用内存大小:{14335MB}，硬盘剩余空间：
  盘符 C:\ 的剩余空间：70 GB
  盘符 D:\ 的剩余空间：94 GB
硬件配置情况：
  CPU 厂家: GenuineIntel CPU 型号: Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Micron_1300_MTFDDAK256TDL ATA Device
==========================================================================
2023-05-17 10:54:55,745 [AppLog] INFO : 开启系统：板卡通讯，伺服供电，照明系统，UV/HR固化系统！
2023-05-17 10:54:55,745 [AppLog] INFO : 开启系统：一键启动系统开始！
2023-05-17 10:55:01,844 [AppLog] INFO : 开启系统：一键启动系统结束！
2023-05-17 10:55:02,032 [AppLog] INFO : 创建：AutoPrintMotion0=》初次创建完成-手动操作！
2023-05-17 10:55:02,110 [AppLog] INFO : 初始化喷墨控制器启动！
2023-05-17 10:55:25,900 [AppLog] INFO : 打开喷墨控制器设备成功！
2023-05-17 10:55:25,915 [AppLog] INFO : 输入校准值1次{成功}，打印往返差校准值为：BiDirEncPrtOff{5},分频值{8},打印速度{300mm/s}
2023-05-17 10:55:26,305 [AppLog] INFO : PASS打印前关键状态：DEV_GetDeviceInfo：LPPRINTER_INFO:nXSysEncDPI{5080}nStatus{909129520}nPrintStatus{0}bSuperDevice{1}
LPPRINTER_INFO-LPPrtRunInfo:bJobPrtRuning{False}bLayerPrtIsOver{False}nContReqMemErr{0}nContWDErr{0}nCurPrtDir{0}nDTLayerIndex{0}nDTLayerPassIndex{0}nDTPtrCtlIndex{0}nLayerPassCount{0}nPrintLayerIndex{0}nPrintPassIndex{0}nProcLayerIndex{0}nPrtDataMemAddr{0}nPrtState{0}nReverse{System.Int32[]}nRevPrtCols{0}
LPPRINTER_INFO-LPDRVINFO:nFMVersion{45074}nFpgaVersion{539038216}nPCBVersion{0}nState{0}nNextState{0}nPtvwarnState{0}nCrc32{0}nRevInfo{System.UInt32[]}nSignature{0}
2023-05-17 10:55:57,396 [AppLog] INFO : 初始化喷墨控制器成功！
2023-05-17 10:55:57,396 [AppLog] INFO : 进入：EquipmentMotionLogic3=》准备创建对象-手动操作！
2023-05-17 10:55:57,427 [AppLog] INFO : 进入：EquipmentMotionLogic3=》创建完成-手动操作！
2023-05-17 10:55:57,568 [AppLog] INFO : 红外灯控制器485通讯建立！
2023-05-17 10:55:57,568 [AppLog] INFO : 进入电气控制模块
2023-05-17 10:55:58,987 [AppLog] INFO : 退出电气控制模块
2023-05-17 10:55:59,611 [AppLog] INFO : 进入手动调试子模块！
2023-05-17 10:55:59,627 [AppLog] INFO : 进入：ManulBtn_Click=》准备创建对象-手动操作！
2023-05-17 10:55:59,642 [AppLog] INFO : 创建：ManualControl=》创建完成-手动操作！
2023-05-17 10:55:59,642 [AppLog] INFO : 加载成功：温控Modbus接口！
2023-05-17 10:56:01,171 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},运动速度{50MM/s}
2023-05-17 10:56:07,099 [AppLog] INFO : 自动停止铺粉棍轴JOG输出（8轴运控板卡系统） ====》：输出AXIS{第6轴}
2023-05-17 10:56:07,099 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第2轴}
2023-05-17 10:56:07,442 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},运动速度{50MM/s}
2023-05-17 10:56:08,098 [AppLog] INFO : 自动停止铺粉棍轴JOG输出（8轴运控板卡系统） ====》：输出AXIS{第6轴}
2023-05-17 10:56:08,098 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第2轴}
2023-05-17 10:57:12,089 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:12,167 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:12,510 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:12,713 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:13,665 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:13,883 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:14,164 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:14,320 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:14,616 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:14,757 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:16,582 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:16,707 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:17,190 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:17,331 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:17,799 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
2023-05-17 10:57:17,877 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第3轴}
2023-05-17 10:57:18,204 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第3轴},运动速度{1MM/s}
