2024-01-07 09:50:18,577 [AppLog] INFO : 软件开机密码正确，登录成功1次
==========================================================================
操作系统:{Microsoft Windows 7 旗舰版 }
运行环境:{ .Net Framework Enviroment Version 4.0.30319.42000}
盘符：D
CPU使用率：{17.18707%} ，可用内存大小:{14361MB}，硬盘剩余空间：
  盘符 C:\ 的剩余空间：70 GB
  盘符 D:\ 的剩余空间：40 GB
硬件配置情况：
  CPU 厂家: GenuineIntel CPU 型号: Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Micron_1300_MTFDDAK256TDL ATA Device
==========================================================================
2024-01-07 09:50:22,305 [AppLog] INFO : 开启系统：板卡通讯，伺服供电，照明系统，UV/HR固化系统！
2024-01-07 09:50:22,321 [AppLog] INFO : 开启系统：一键启动系统开始！
2024-01-07 09:50:28,405 [AppLog] INFO : 开启系统：一键启动系统结束！
2024-01-07 09:50:28,623 [AppLog] INFO : 创建：AutoPrintMotion0=》初次创建完成-手动操作！
2024-01-07 09:50:28,701 [AppLog] INFO : 初始化喷墨控制器启动！
2024-01-07 09:50:52,491 [AppLog] INFO : 打开喷墨控制器设备成功！
2024-01-07 09:50:52,522 [AppLog] INFO : 输入校准值1次{成功}，打印往返差校准值为：BiDirEncPrtOff{5},分频值{8},打印速度{300mm/s}
2024-01-07 09:50:52,912 [AppLog] INFO : PASS打印前关键状态：DEV_GetDeviceInfo：LPPRINTER_INFO:nXSysEncDPI{5080}nStatus{909129520}nPrintStatus{0}bSuperDevice{1}
LPPRINTER_INFO-LPPrtRunInfo:bJobPrtRuning{False}bLayerPrtIsOver{False}nContReqMemErr{0}nContWDErr{0}nCurPrtDir{0}nDTLayerIndex{0}nDTLayerPassIndex{0}nDTPtrCtlIndex{0}nLayerPassCount{0}nPrintLayerIndex{0}nPrintPassIndex{0}nProcLayerIndex{0}nPrtDataMemAddr{0}nPrtState{0}nReverse{System.Int32[]}nRevPrtCols{0}
LPPRINTER_INFO-LPDRVINFO:nFMVersion{45074}nFpgaVersion{539038216}nPCBVersion{0}nState{0}nNextState{0}nPtvwarnState{0}nCrc32{0}nRevInfo{System.UInt32[]}nSignature{0}
2024-01-07 09:51:20,696 [AppLog] INFO : 初始化喷墨控制器成功！
2024-01-07 09:51:20,696 [AppLog] INFO : 进入：EquipmentMotionLogic3=》准备创建对象-手动操作！
2024-01-07 09:51:20,727 [AppLog] INFO : 进入：EquipmentMotionLogic3=》创建完成-手动操作！
2024-01-07 09:51:20,852 [AppLog] INFO : 红外灯控制器485通讯建立！
2024-01-07 09:51:20,852 [AppLog] INFO : 进入电气控制模块
2024-01-07 09:51:27,607 [AppLog] INFO : 退出电气控制模块
2024-01-07 09:51:29,260 [AppLog] INFO : 进入手动调试子模块！
2024-01-07 09:51:29,260 [AppLog] INFO : 进入：ManulBtn_Click=》准备创建对象-手动操作！
2024-01-07 09:51:29,292 [AppLog] INFO : 创建：ManualControl=》创建完成-手动操作！
2024-01-07 09:51:29,292 [AppLog] INFO : 加载成功：温控Modbus接口！
2024-01-07 09:51:34,502 [AppLog] INFO : 切换为JOG模式====》：输出AXIS{第1轴}
2024-01-07 09:51:37,357 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{2MM/s}
2024-01-07 09:51:38,402 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:51:38,714 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{2MM/s}
2024-01-07 09:51:43,410 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:51:47,356 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:00,336 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:01,287 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:03,346 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:03,549 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:23,923 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:24,609 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:25,296 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:25,623 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:26,169 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:26,528 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:27,012 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:27,480 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:27,994 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:28,291 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:28,774 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:32,269 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2024-01-07 09:52:36,091 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2024-01-07 09:52:39,570 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
